country,code,region,region_noHICgroup,incgroup2,incgroup3,incgroup4,fragile,survey,year,status,cohort,parent,child,obs,P1,P2,P3,P4,P5,C1,C2,C3,C4,C5,MEANp,MEANc,SDp,SDc,MLD_psu,CAT,YOS,DIF,MIX,CAT_ISCED0,CAT_ISCED1,CAT_ISCED2,CAT_ISCED34,CAT_ISCED5678,COR,BETA,MU050,BHQ4,Q4Q4,BHQ1,BHQ2,BHQ3,Q4BH,Q4child
Afghanistan,AFG,South Asia,South Asia,Developing economies,Low income,Low income,Yes,NRVA,2011,Co-residents only,1980,avg,all,3956,.66612476,.098582916,.17093068,.043031473,.021330182,.51185697,.02580462,.16419129,.18346915,.11467795,2.4801621,5.5824008,3.8097816,5.8577647,.11709236,.41435471,.48007634,3.2032983,.41669065,.32997543,.63310826,.5847466,.54255289,0,.52167583,.80210745,38.267929,.11541249,.57656682,.34330001,.32529986,.21598764,.16066469,.25031462
Afghanistan,AFG,South Asia,South Asia,Developing economies,Low income,Low income,Yes,NRVA,2011,Co-residents only,1980,avg,daughter,721,.6153211,.099271752,.21277559,.051969059,.020662477,.62848145,.023378422,.099265099,.1323224,.11655261,2.9899917,4.3317313,4.0103793,5.9026852,.25332066,.28307503,.31335872,1.4333878,.28489456,.17423947,.50935423,.44540733,.47483027,0,.57625061,.84815562,31.926859,.069982387,.50535405,.43981525,.38444826,.10575411,.28440753,.21694402
Afghanistan,AFG,South Asia,South Asia,Developing economies,Low income,Low income,Yes,NRVA,2011,Co-residents only,1980,avg,son,3235,.67869866,.098412432,.16057406,.040819421,.021495437,.48299247,.026405104,.18026051,.19612795,.11421397,2.3539793,5.8919411,3.7484949,5.8061409,.12346732,.44687408,.52133894,3.6417239,.44931018,.36492074,.6640048,.63044435,.56389248,0,.52144164,.80767447,39.630493,.12502113,.59902859,.32288617,.31275025,.23934245,.1217899,.25857383
Afghanistan,AFG,South Asia,South Asia,Developing economies,Low income,Low income,Yes,NRVA,2011,Co-residents only,1980,dad,all,4137,.68658054,.047609806,.057308592,.15090708,.057594001,.51456213,.026046939,.16563793,.18155099,.112202,3.7560487,5.5382752,5.493762,5.8420348,.11709236,.35024402,.37278134,2.1102159,.35433298,.34210727,.73178267,.36632064,.26078659,0,.48376021,.51442778,40.513165,.12859921,.54951358,.33514935,.31631297,.21993847,.19294269,.25029588
Afghanistan,AFG,South Asia,South Asia,Developing economies,Low income,Low income,Yes,NRVA,2011,Co-residents only,1980,dad,daughter,744,.63909161,.052328411,.054086313,.19009995,.064393722,.63035399,.022781378,.10373571,.12955287,.11357607,4.5208774,4.2777681,5.8047752,5.8697367,.25332066,.23012604,.23522033,.12881845,.23516972,.18986429,.81913972,.2333893,.20241588,0,.48634911,.49179187,31.846794,.081535332,.49190229,.4296692,.37878826,.1100072,.31589642,.21157491
Afghanistan,AFG,South Asia,South Asia,Developing economies,Low income,Low income,Yes,NRVA,2011,Co-residents only,1980,dad,son,3393,.69812435,.046462782,.058091883,.14137988,.05594109,.48641485,.026840748,.18068545,.19419096,.11186799,3.5701301,5.8446856,5.4000921,5.7949357,.12346732,.3791815,.4062928,2.5875518,.38329983,.37598592,.70786667,.39640617,.27986526,0,.4975141,.53389132,40.192749,.13866942,.57916093,.31494644,.30296624,.24341792,.14767095,.25970837
Afghanistan,AFG,South Asia,South Asia,Developing economies,Low income,Low income,Yes,NRVA,2011,Co-residents only,1980,max,all,3956,.66612476,.043961223,.058528241,.16865119,.062734582,.51185697,.02580462,.16419129,.18346915,.11467795,4.0617547,5.5824008,5.6620908,5.8577647,.11709236,.33637598,.35781929,1.8844703,.34168968,.32997543,.69249254,.36087731,.26032686,0,.5082767,.52584207,38.309429,.11744928,.56763417,.34449819,.32252589,.21552663,.16994214,.25034246
Afghanistan,AFG,South Asia,South Asia,Developing economies,Low income,Low income,Yes,NRVA,2011,Co-residents only,1980,max,daughter,721,.6153211,.042243581,.063212268,.20860182,.070621207,.62848145,.023378422,.099265099,.1323224,.11655261,4.8542042,4.3317313,5.9155045,5.9026852,.25332066,.21610859,.22322792,-.15092935,.22268745,.17423947,.77009141,.24368155,.21907011,0,.51569396,.51457638,31.784191,.074030146,.48567659,.4377057,.38472372,.10354046,.29497343,.21498854
Afghanistan,AFG,South Asia,South Asia,Developing economies,Low income,Low income,Yes,NRVA,2011,Co-residents only,1980,max,son,3235,.67869866,.044386342,.057368945,.15876342,.060782649,.48299247,.026405104,.18026051,.19612795,.11421397,3.8656235,5.8919411,5.5812869,5.8061409,.12346732,.36583033,.39120722,2.3829544,.37114269,.36492074,.67421401,.39283764,.2737433,0,.52107859,.54207128,39.609371,.12674505,.58699483,.32450363,.30926389,.23948747,.12828186,.25909254
Afghanistan,AFG,South Asia,South Asia,Developing economies,Low income,Low income,Yes,NRVA,2011,Co-residents only,1980,mom,all,4371,.91111279,.0095800525,.024668276,.04691162,.0077272388,.52453423,.026111748,.16439773,.17894135,.10601494,1.0611202,5.4427314,3.286447,5.8058333,.11709236,.44615513,.49037448,4.4303899,.44777292,.43008479,.91379309,.76424068,.49550951,0,.36475348,.64437312,44.856018,.2024854,.40108874,.27663821,.26640582,.25447059,.3527056,.25029087
